"entrez","genes","chr","start","end","strand"
"107448","Unc5a","chr13",55048793,55050792,"+"
"107449","Unc5b","chr10",60283390,60285389,"-"
"107476","Acaca","chr11",83941174,83943173,"+"
"107477","Guca1b","chr17",47520342,47522341,"+"
"107503","Atf5","chr7",52071029,52073028,"-"
"107508","Eprs","chr1",187184974,187186973,"+"
"107513","Ssr1","chr13",38086060,38088059,"-"
"107515","Lgr4","chr2",109755804,109757803,"+"
"107522","Ece2","chr16",20609674,20611673,"+"
"107526","Gimap4","chr6",48632577,48634576,"+"
"107527","Il1rl2","chr1",40379472,40381471,"+"
"107528","Magee1","chrX",102313735,102315734,"+"
"107566","Arl2bp","chr8",97188655,97190654,"+"
"107568","Wwp1","chr4",19636141,19638140,"-"
"107569","Nt5c3","chr6",56851880,56853879,"-"
"107581","Col16a1","chr4",129723084,129725083,"+"
"107585","Dio3","chr12",111515440,111517439,"+"
"107586","Ovol2","chr2",144157099,144159098,"-"
"107587","Osr2","chr15",35223867,35225866,"+"
"107589","Mylk","chr16",34743296,34745295,"+"
"107605","Rdh1","chr10",127194819,127196818,"+"
"107607","Nod1","chr6",54921656,54923655,"-"
"107650","Pi4kb","chr3",94776653,94778652,"+"
"107652","Uap1","chr1",172105078,172107077,"-"
"107656","Krt9","chr11",100054561,100056560,"-"
"107684","Coro2a","chr4",46579313,46581312,"-"
"107686","Snrpd2","chr7",19733187,19735186,"+"
"107701","Sf3b4","chr3",95974473,95976472,"+"
"107702","Rnh1","chr7",148354586,148356585,"-"
"107723","Slc12a6","chr2",112104471,112106470,"+"
"107732","Mrpl10","chr11",96900900,96902899,"+"
"107733","Mrpl41","chr2",24830619,24832618,"-"
"107734","Mrpl30","chr1",37945398,37947397,"+"
"107746","Rapgef1","chr2",29473240,29475239,"+"
"107747","Aldh1l1","chr6",90498812,90500811,"+"
"107751","Prrxl1","chr14",33410594,33412593,"+"
"107753","Lgals2","chr15",78685960,78687959,"-"
"107765","Ankrd1","chr19",36194335,36196334,"-"
"107766","Haao","chr17",84246131,84248130,"-"
"107767","Scamp1","chr13",95016502,95018501,"-"
"107769","Tm6sf1","chr7",89001908,89003907,"+"
"107770","Tm6sf2","chr8",72594831,72596830,"+"
"107771","Bmyc","chr2",25560399,25562398,"+"
"107815","Scml2","chrX",157553125,157555124,"+"
"107817","Jmjd6","chr11",116704035,116706034,"-"
"107823","Whsc1","chr5",34161393,34163392,"+"
"107829","Thoc5","chr11",4793346,4795345,"+"
"107831","Bai1","chr15",74344626,74346625,"+"
"107849","Prl2c5","chr13",13273049,13275048,"+"
"107868","Usp9y","chrY",796226,798225,"-"
"107869","Cth","chr3",157588028,157590027,"-"
"107885","Mthfs","chr9",89104028,89106027,"+"
"107889","Gcm2","chr13",41201053,41203052,"-"
"107895","Mgat5","chr1",129099563,129101562,"+"
"107932","Chd4","chr6",125044181,125046180,"+"
"107934","Celsr3","chr9",108726651,108728650,"+"
"107939","Pom121","chr5",135870417,135872416,"-"
"107951","Cdk9","chr2",32566425,32568424,"-"
"107970","Hist1h1t","chr13",23785680,23787679,"+"
"107971","Frs3","chr17",47830156,47832155,"+"
"107975","Pacs1","chr19",5273108,5275107,"-"
"107976","Bre","chr5",31998423,32000422,"+"
"107986","Ddb2","chr2",91075489,91077488,"-"
"107993","Bfsp2","chr9",103351427,103353426,"-"
"107995","Cdc20","chr4",118109949,118111948,"-"
"107999","Gtpbp6","chr5",110536217,110538216,"-"
"108000","Cenpf","chr1",191511966,191513965,"-"
"108011","Ap4e1","chr2",126832447,126834446,"+"
"108012","Ap1s2","chrX",160345092,160347091,"+"
"108013","Celf4","chr18",25912485,25914484,"-"
"108014","Srsf9","chr5",115775186,115777185,"+"
"108015","Chrnb4","chr9",54883551,54885550,"-"
"108017","Fxyd4","chr6",117887542,117889541,"-"
"108030","Lin7a","chr10",106706887,106708886,"+"
"108037","Shmt2","chr10",126959492,126961491,"-"
"108043","Chrnb3","chr8",28477183,28479182,"+"
"108052","Slc14a1","chr18",78320166,78322165,"-"
"108058","Camk2d","chr3",126297891,126299890,"+"
"108062","Cstf2","chrX",130591888,130593887,"+"
"108067","Eif2b3","chr4",116690013,116692012,"+"
"108068","Grm2","chr9",106550558,106552557,"-"
"108069","Grm3","chr5",9725353,9727352,"-"
"108071","Grm5","chr7",94730678,94732677,"+"
"108072","Grm6","chr11",50662187,50664186,"+"
"108073","Grm7","chr6",110593592,110595591,"+"
"108075","Ltbp4","chr7",28118668,28120667,"-"
"108077","Skiv2l","chr17",34977161,34979160,"-"
"108078","Olr1","chr6",129457184,129459183,"-"
"108079","Prkaa2","chr4",104782504,104784503,"-"
"108083","Pip4k2b","chr11",97606019,97608018,"-"
"108086","Rnf216","chr5",143874700,143876699,"-"
"108089","Rnf144a","chr12",27100122,27102121,"-"
"108096","Slco1a5","chr6",142227371,142229370,"-"
"108097","Prkab2","chr3",97460135,97462134,"+"
"108098","Med21","chr6",146589101,146591100,"+"
"108099","Prkag2","chr5",24414328,24416327,"-"
"108100","Baiap2","chr11",119802406,119804405,"+"
"108101","Fermt3","chr19",7093960,7095959,"-"
"108105","B3gnt5","chr16",19758327,19760326,"+"
"108112","Eif4ebp3","chr18",36821714,36823713,"+"
"108114","Slc22a7","chr17",46575427,46577426,"-"
"108115","Slco4a1","chr2",180189039,180191038,"+"
"108116","Slco3a1","chr7",81699667,81701666,"-"
"108121","U2af1","chr17",31795700,31797699,"-"
"108123","Napg","chr18",63135570,63137569,"+"
"108124","Napa","chr7",16681992,16683991,"+"
"108138","Xrcc4","chr13",90229214,90231213,"-"
"108143","Taf9","chr13",101419298,101421297,"+"
"108147","Atic","chr1",71601730,71603729,"+"
"108148","Galnt2","chr8",126753294,126755293,"+"
"108150","Galnt7","chr8",60131853,60133852,"-"
"108151","Sema3d","chr5",12381166,12383165,"+"
"108153","Adamts7","chr9",90055816,90057815,"+"
"108154","Adamts6","chr13",105075953,105077952,"+"
"108155","Ogt","chrX",98833401,98835400,"+"
"108156","Mthfd1","chr12",77354219,77356218,"+"
"108159","Ubxn8","chr8",34752449,34754448,"-"
"108160","Fam50a","chrX",71556372,71558371,"+"
"108161","Fam50b","chr13",34824719,34826718,"+"
"108176","Npm3-ps1","chr6",85024135,85026134,"+"
"108645","Mat2b","chr11",40506185,40508184,"-"
"108652","Slc35b3","chr13",39052407,39054406,"-"
"108653","Rimklb","chr6",122416606,122418605,"-"
"108654","Fam210a","chr18",68459988,68461987,"-"
"108655","Foxp1","chr6",98978293,98980292,"-"
"108657","Rnpepl1","chr1",94805402,94807401,"+"
"108660","Rnf187","chr11",58752409,58754408,"-"
"108664","Atp6v1h","chr1",5071254,5073253,"+"
"108670","Epsti1","chr14",78302046,78304045,"+"
"108671","Dnajc9","chr14",21208133,21210132,"-"
"108672","Zdhhc15","chrX",101866404,101868403,"-"
"108673","Ccdc86","chr19",11023757,11025756,"-"
"108679","Cops8","chr1",92498000,92499999,"+"
"108682","Gpt2","chr8",88014516,88016515,"+"
"108686","Ccdc88a","chr11",29271775,29273774,"+"
"108687","Edem2","chr2",155555212,155557211,"-"
"108689","Obfc1","chr19",47611511,47613510,"-"
"108699","Chn1","chr2",73463727,73465726,"-"
"108705","Pttg1ip","chr10",77042512,77044511,"+"
"108707","Fam207a","chr10",76978559,76980558,"-"
"108723","Card11","chr5",141358160,141360159,"-"
"108735","Sft2d2","chr1",167124565,167126564,"-"
"108737","Oxsr1","chr9",119214036,119216035,"-"
"108755","Lyrm2","chr4",32885234,32887233,"+"
"108760","Galnt16","chr12",81617458,81619457,"+"
"108767","Pnrc1","chr4",33335763,33337762,"-"
"108797","Mex3b","chr7",90013843,90015842,"+"
"108800","Ston2","chr12",93024877,93026876,"-"
"108802","Calr4","chr4",108905867,108907866,"+"
"108803","4933402P03Rik","chr11",69631943,69633942,"-"
"108811","Ccdc122","chr14",77434579,77436578,"+"
"108812","Als2cr12","chr1",58752834,58754833,"-"
"108816","4933409K07Rik","chr4",42450733,42452732,"+"
"108829","Jmjd1c","chr10",66556873,66558872,"+"
"108832","Tmem74b","chr2",151525744,151527743,"+"
"108837","Ibtk","chr9",85614954,85616953,"-"
"108841","Rdh13","chr7",4397260,4399259,"-"
"108853","Mtrf1l","chr10",4520598,4522597,"+"
"108857","Ankhd1","chr18",36718257,36720256,"+"
"108888","Atad3a","chr4",155135208,155137207,"-"
"108897","Aif1l","chr2",31803823,31805822,"+"
"108899","2700081O15Rik","chr19",7490115,7492114,"+"
"108900","Fam72a","chr1",133422566,133424565,"+"
"108902","B3gnt1","chr19",5036826,5038825,"+"
"108903","Tbcd","chr11",121311263,121313262,"+"
"108907","Nusap1","chr2",119442034,119444033,"+"
"108909","Aida","chr1_random",268408,270407,"+"
"108911","Rcc2","chr4",140255388,140257387,"+"
"108912","Cdca2","chr14",68333668,68335667,"-"
"108927","Lhfp","chr3",52843469,52845468,"+"
"108934","Smim13","chr13",41343213,41345212,"+"
"108937","Rnf169","chr7",107128969,107130968,"-"
"108943","Trmt10a","chr3",137804481,137806480,"+"
"108946","Zzz3","chr3",152056437,152058436,"+"
"108950","1700049L16Rik","chr10",71443439,71445438,"-"
"108954","Ppp1r15b","chr1",135025743,135027742,"+"
"108956","Apol7c","chr15",77363746,77365745,"-"
"108958","Fam73b","chr2",30217765,30219764,"+"
"108960","Irak2","chr6",113586461,113588460,"+"
"108961","E2f8","chr7",56136412,56138411,"-"
"108978","4930555G01Rik","chr14",4970734,4972733,"+"
"108989","Tpr","chr1",152237968,152239967,"+"
"108995","Tbc1d10c","chr19",4185533,4187532,"-"
"109006","Ciapin1","chr8",97362241,97364240,"-"
"109019","Nabp1","chr1",51535244,51537243,"-"
"109032","Sp110","chr1",87495378,87497377,"-"
"109042","Prkcdbp","chr7",112630712,112632711,"-"
"109050","Fam212b","chr3",105505517,105507516,"+"
"109052","Krt75","chr15",101404336,101406335,"-"
"109054","Pfdn4","chr2",170319928,170321927,"+"
"109065","Dnaaf2","chr12",70299417,70301416,"-"
"109075","Exosc4","chr15",76155827,76157826,"+"
"109077","Ints5","chr19",8965477,8967476,"+"
"109079","Sephs1","chr2",4800610,4802609,"+"
"109082","Fbxw17","chr13",50511246,50513245,"+"
"109093","Rars2","chr4",34560207,34562206,"+"
"109095","Rbm15b","chr9",106789332,106791331,"-"
"109108","Slc30a9","chr5",67696196,67698195,"+"
"109113","Uhrf2","chr19",30103003,30105002,"+"
"109115","Supt3","chr17",44912120,44914119,"+"
"109129","Mmadhc","chr2",50152198,50154197,"-"
"109135","Plekha5","chr6",140370620,140372619,"+"
"109136","Mmaa","chr8",81818580,81820579,"-"
"109145","Gins4","chr8",24348141,24350140,"-"
"109151","Chd9","chr8",93350734,93352733,"+"
"109154","Mlec","chr5",115608186,115610185,"-"
"109161","Ube2q2","chr9",54995176,54997175,"+"
"109168","Atl3","chr19",7566530,7568529,"+"
"109181","Trip11","chr12",103151382,103153381,"-"
"109205","Sobp","chr10",42894337,42896336,"-"
"109212","Fam64a","chr11",71854004,71856003,"+"
"109218","Tmem139","chr6",42209969,42211968,"+"
"109222","Rarres1","chr3",67319446,67321445,"-"
"109225","Ms4a7","chr19",11410607,11412606,"-"
"109229","Fam118b","chr9",35043069,35045068,"-"
"109232","Sccpdh","chr1",181596362,181598361,"+"
"109241","Mbd5","chr2",48803028,48805027,"+"
"109242","Kif24","chr4",41411882,41413881,"-"
"109245","Lrrc39","chr3",116263891,116265890,"+"
"109246","Tspan9","chr6",128086728,128088727,"-"
"109254","Adtrp","chr13",41942858,41944857,"-"
"109263","Rlf","chr4",120861140,120863139,"-"
"109264","Me3","chr7",96779015,96781014,"+"
"109267","Ssc4d","chr5",136438140,136440139,"-"
"109270","Prr5","chr15",84491674,84493673,"+"
"109272","Mybpc1","chr10",88067898,88069897,"-"
"109275","Actr5","chr2",158448649,158450648,"+"
"109280","Slc22a13b-ps","chr9",119140811,119142810,"-"
"109284","R3hdm4","chr10",79379676,79381675,"-"
"109294","Prex2","chr1",10981546,10983545,"+"
"109305","Orai1","chr5",123463083,123465082,"+"
"109314","Prr9","chr3",91927870,91929869,"-"
"109323","C1qtnf7","chr5",43904808,43906807,"+"
"109331","Rnf20","chr4",49642932,49644931,"+"
"109332","Cdcp1","chr9",123082164,123084163,"-"
"109333","Pkn2","chr3",142544969,142546968,"-"
"109335","9230102K24Rik","chr10",110035706,110037705,"+"
"109342","Slc5a10","chr11",61533497,61535496,"-"
"109346","Ankrd39","chr1",36604047,36606046,"-"
"109349","Fam163b","chr2",26997998,26999997,"-"
"109359","Fam175b","chr7",140048908,140050907,"+"
"109361","D730005E14Rik","chr15",79723569,79725568,"-"
"109552","Sri","chr5",8044080,8046079,"+"
"109575","Tbx10","chr19",3990752,3992751,"+"
"109593","Lmo3","chr6",138371392,138373391,"-"
"109594","Lmo1","chr7",116313823,116315822,"-"
"109620","Dsp","chr13",38241163,38243162,"+"
"109624","Cald1","chr6",34546544,34548543,"+"
"109637","Upk1a","chr7",31397494,31399493,"-"
"109648","Npy","chr6",49770728,49772727,"+"
"109652","Acy1","chr9",106340568,106342567,"-"
"109658","Txlna","chr4",129318050,129320049,"-"
"109660","Ctrl","chr8",108457763,108459762,"-"
"109663","Hoxc11","chr15",102782957,102784956,"+"
"109672","Cyb5a","chr18",85018806,85020805,"+"
"109674","Ampd2","chr3",107880382,107882381,"-"
"109676","Ank2","chr3",126646305,126648304,"-"
"109685","Hyal3","chr9",107481627,107483626,"+"
"109689","Arrb1","chr7",106681996,106683995,"+"
"109697","Cpa1","chr6",30587221,30589220,"+"
"109700","Itga1","chr13",115892173,115894172,"-"
"109711","Actn1","chr12",81273132,81275131,"-"
"109731","Maob","chrX",16394493,16396492,"-"
"109754","Cyb5r3","chr15",83002639,83004638,"-"
"109778","Blvra","chr2",126894393,126896392,"+"
"109785","Pgm3","chr9",86465450,86467449,"-"
"109791","Clps","chr17",28697660,28699659,"-"
"109801","Glo1","chr17",30749605,30751604,"-"
"109815","Vimp","chr7",73222535,73224534,"+"
"109820","Pgc","chr17",47861791,47863790,"+"
"109821","F11","chr8",46347386,46349385,"-"
"109857","Cbr3","chr16",93681464,93683463,"+"
"109880","Braf","chr6",39675463,39677462,"-"
"109889","Mzf1","chr7",13639034,13641033,"-"
"109900","Asl","chr5",130500202,130502201,"-"
"109901","Cela1","chr15",100518352,100520351,"-"
"109904","Mcf2","chrX",57400821,57402820,"-"
"109905","Rap1a","chr3",105604255,105606254,"-"
"109910","Zfp91","chr19",12870614,12872613,"-"
"109929","Zbtb25","chr12",77470452,77472451,"-"
"109934","Abr","chr11",76281957,76283956,"-"
"109959","Amy2a5","chr3",113057062,113059061,"-"
"109978","Art4","chr6",136806122,136808121,"-"
"109979","Art3","chr5",92758867,92760866,"+"
"110006","Gusb","chr5",130478699,130480698,"-"
"110012","Tpgs1","chr10",79130155,79132154,"+"
"110033","Kif22","chr7",134185935,134187934,"-"
"110052","Dek","chr13",47193807,47195806,"-"
"110058","Syt17","chr7",125586029,125588028,"-"
"110074","Dut","chr2",125070984,125072983,"+"
"110075","Bmp3","chr5",99281458,99283457,"+"
"110078","Pygb","chr2",150610532,150612531,"+"
"110082","Dnah5","chr15",28131521,28133520,"+"
"110084","Dnah1","chr14",32082704,32084703,"-"
"110094","Phka2","chrX",156938098,156940097,"+"
"110095","Pygl","chr12",71328671,71330670,"-"
"110109","Nop2","chr6",125079901,125081900,"+"
"110115","Cyp11b1","chr15",74672074,74674073,"-"
"110119","Mpi","chr9",57396518,57398517,"-"
"110135","Fgb","chr3",82853713,82855712,"-"
"110147","Ehmt2","chr17",35033444,35035443,"+"
"110157","Raf1","chr6",115625877,115627876,"-"
"110168","Gpr18","chr14",122314997,122316996,"-"
"110172","Slc35b1","chr11",95244236,95246235,"+"
"110173","Manba","chr3",135146575,135148574,"+"
"110175","Ggct","chr6",54942862,54944861,"-"
"110187","Scgb2b26","chr7",34730005,34732004,"-"
"110196","Fdps","chr3",88905868,88907867,"-"
"110197","Dgkg","chr16",22657305,22659304,"-"
"110198","Akr7a5","chr4",138864659,138866658,"+"
"110208","Pgd","chr4",148540817,148542816,"-"
"110213","Tmbim6","chr15",99221378,99223377,"+"
"110253","Triobp","chr15",78776154,78778153,"+"
"110257","Hba-a2","chr11",32181672,32183671,"+"
"110265","Msra","chr14",65035775,65037774,"-"
"110279","Bcr","chr10",74521641,74523640,"+"
"110304","Glra3","chr8",58417622,58419621,"+"
"110308","Krt5","chr15",101543323,101545322,"-"
"110310","Krt7","chr15",101240834,101242833,"+"
"110312","Pmch","chr10",87551817,87553816,"+"
"110323","Cox6b1","chr7",31411171,31413170,"-"
"110326","Tas1r1","chr4",151412600,151414599,"-"
"110332","Pp2d1","chr17",53678777,53680776,"-"
"110333","Rmst","chr10",91627924,91629923,"-"
"110350","Dync2h1","chr9",7071130,7073129,"-"
"110351","Rap1gap","chr4",137218683,137220682,"+"
"110355","Adrbk1","chr19",4288228,4290227,"-"
"110379","Sec13","chr6",113690676,113692675,"-"
"110380","Shroom2","chrX",149079022,149081021,"-"
"110382","C8b","chr4",104436922,104438921,"+"
"110385","Pde4c","chr8",73245963,73247962,"+"
"110391","Qdpr","chr5",45841469,45843468,"-"
"110417","Pigh","chr12",80190658,80192657,"-"
"110446","Acat1","chr9",53418456,53420455,"-"
"110454","Ly6a","chr15",74828319,74830318,"-"
"110460","Acat2","chr17",13153184,13155183,"-"
"110511","Olfr153","chr2",87370192,87372191,"+"
"110521","Hivep1","chr13",42145390,42147389,"+"
"110524","Dgkq","chr5",109082806,109084805,"-"
"110532","Adarb1","chr10",76881019,76883018,"-"
"110542","Amhr2","chr15",102273798,102275797,"+"
"110557","H2-Q6","chr17",35559822,35561821,"+"
"110593","Prdm2","chr4",142802613,142804612,"-"
"110595","Timp4","chr6",115201868,115203867,"-"
"110596","Arhgef28","chr13",98976121,98978120,"-"
"110606","Fntb","chr12",77936454,77938453,"+"
"110611","Hdlbp","chr1",95342230,95344229,"-"
"110616","Atxn3","chr12",103196454,103198453,"-"
"110637","Grik4","chr9",42752455,42754454,"-"
"110639","Prps2","chrX",163820632,163822631,"-"
"110648","Lmx1a","chr1",169617689,169619688,"+"
"110651","Rps6ka3","chrX",155646239,155648238,"+"
"110695","Aldh7a1","chr18",56721953,56723952,"-"
"110696","H2-M10.3","chr17",36505363,36507362,"-"
"110749","Chaf1b","chr16",93882146,93884145,"+"
"110750","Cse1l","chr2",166729596,166731595,"+"
"110751","Adam33","chr2",130880098,130882097,"-"
"110784","Nr3c2","chr8",79424407,79426406,"+"
"110789","Gpr98","chr13",81583578,81585577,"-"
"110794","Cebpe","chr14",55331012,55333011,"-"
"110796","Tshz1","chr18",84255783,84257782,"-"
"110805","Foxe1","chr4",46355066,46357065,"+"
"110809","Srsf1","chr11",87859173,87861172,"+"
"110816","Pwp2","chr10",77647895,77649894,"-"
"110821","Pcca","chr14",122931550,122933549,"+"
"110826","Etfb","chr7",50697513,50699512,"+"
"110829","Lims1","chr10",57784214,57786213,"+"
"110834","Chrna3","chr9",54874367,54876366,"-"
"110835","Chrna5","chr9",54826687,54828686,"+"
"110842","Etfa","chr9",55360051,55362050,"-"
"110854","Ppp2r4","chr2",30269570,30271569,"+"
"110855","Pde6c","chr19",38205271,38207270,"+"
"110862","Kcnq3","chr15",66117787,66119786,"-"
"110876","Scn2a1","chr2",65504782,65506781,"+"
"110877","Slc18a1","chr8",71613122,71615121,"-"
"110880","Scn4a","chr11",106210705,106212704,"-"
"110886","Gabra5","chr7",64765380,64767379,"-"
"110891","Slc8a2","chr7",16713649,16715648,"+"
"110893","Slc8a3","chr12",82434168,82436167,"-"
"110895","Slc9a4","chr1",40635072,40637071,"+"
"110902","Chrna2","chr14",66757797,66759796,"+"
"110911","Cds2","chr2",132086993,132088992,"+"
"110920","Hspa13","chr16",75767064,75769063,"-"
"110935","Atp6v1b1","chr6",83691011,83693010,"+"
"110948","Hlcs","chr16",94509534,94511533,"-"
"110954","Rpl10","chrX",71514155,71516154,"+"
"110957","D1Pas1","chr1",188789295,188791294,"+"
"110958","M1ap","chr6",82894916,82896915,"+"
"110959","Nudt19","chr7",36340948,36342947,"-"
"110960","Tars","chr15",11329414,11331413,"-"
"110962","Mbd6","chr10",126720996,126722995,"-"
"111002","Marcksl1-ps4","chr13",4245981,4247980,"+"
"111173","Erc1","chr6",119798169,119800168,"-"
"111174","Taar1","chr10",23638212,23640211,"+"
"111175","Pecr","chr1",72330889,72332888,"-"
"111186","Stmn1-rs1","chr9",115191189,115193188,"-"
"111970","Dlx1as","chr2",71375949,71377948,"-"
"111975","Igf2os","chr7",149843598,149845597,"+"
"112403","Dxo","chr17",34971964,34973963,"+"
"112405","Egln1","chr8",127473155,127475154,"-"
"112406","Egln2","chr7",27951822,27953821,"-"
"112407","Egln3","chr12",55304862,55306861,"-"
"112408","Tas2r116","chr6",132803456,132805455,"+"
"112415","C030039L03Rik","chr7",28457680,28459679,"+"
"112417","Ugt2b37","chr5",87683814,87685813,"-"
"112418","1700102P08Rik","chr9",108293165,108295164,"+"
"112419","2010002M12Rik","chr19",34715234,34717233,"-"
"112422","2610305D13Rik","chr4",147016618,147018617,"-"
"11287","Pzp","chr6",128476739,128478738,"-"
"11298","Aanat","chr11",116453001,116455000,"+"
"11302","Aatk","chr11",119878473,119880472,"-"
"11303","Abca1","chr4",53172768,53174767,"-"
"11304","Abca4","chr3",121745378,121747377,"+"
"11305","Abca2","chr2",25282194,25284193,"+"
"11306","Abcb7","chrX",101609186,101611185,"-"
"11307","Abcg1","chr17",31192639,31194638,"+"
"11308","Abi1","chr2",22826780,22828779,"-"
"11350","Abl1","chr2",31542076,31544075,"+"
"11352","Abl2","chr1",158486918,158488917,"+"
"11354","Scgb1b27","chr7",34804586,34806585,"+"
"11363","Acadl","chr1",66909842,66911841,"-"
"11364","Acadm","chr3",153607397,153609396,"-"
"11370","Acadvl","chr11",69828910,69830909,"-"
"113845","Vmn1r48","chr6",89986836,89988835,"-"
"113846","Vmn1r47","chr6",89969882,89971881,"+"
"113847","Vmn1r43","chr6",89820449,89822448,"-"
"113848","Vmn1r42","chr6",89795532,89797531,"-"
"113849","Vmn1r52","chr6",90126710,90128709,"+"
"113850","V1ra8","chr6",90150811,90152810,"+"
"113851","Vmn1r54","chr6",90217100,90219099,"+"
"113852","Vmn1r50","chr6",90055269,90057268,"+"
"113853","Vmn1r53","chr6",90174433,90176432,"-"
"113854","Vmn1r44","chr6",89841268,89843267,"+"
"113855","Vmn1r40","chr6",89662197,89664196,"+"
"113856","Vmn1r46","chr6",89924165,89926164,"+"
"113857","Vmn1r41","chr6",89694476,89696475,"+"
"113858","Vmn1r10","chr6",57061419,57063418,"+"
"113859","Vmn1r29","chr6",58255291,58257290,"+"
"113860","Vmn1r11","chr6",57085347,57087346,"+"
"113862","Vmn1r13","chr6",57157852,57159851,"+"
"113863","Vmn1r15","chr6",57206143,57208142,"+"
"113864","Vmn1r14","chr6",57181433,57183432,"+"
"113865","Vmn1r25","chr6",57929297,57931296,"-"
"113868","Acaa1a","chr9",119248412,119250411,"+"
"11409","Acads","chr5",115569323,115571322,"-"
"114128","Laptm4b","chr15",34165781,34167780,"+"
"114141","Cldn16","chr16",26461221,26463220,"+"
"114142","Foxp2","chr6",14849349,14851348,"+"
"114143","Atp6v0b","chr4",117559935,117561934,"-"
"11416","Slc33a1","chr3",63768656,63770655,"-"
"11418","Asic2","chr11",80966406,80968405,"-"
"11419","Asic1","chr15",99499149,99501148,"+"
"11421","Ace","chr11",105827261,105829260,"+"
"114228","Prss1","chr6",41406929,41408928,"+"
"114229","Kiss1r","chr10",79377716,79379715,"+"
"11423","Ache","chr5",137726994,137728993,"+"
"114230","Aipl1","chr11",71851012,71853011,"-"
"114249","Npnt","chr3",132613256,132615255,"-"
"11425","Apoc4","chr7",20266766,20268765,"-"
"114255","Dok4","chr8",97395058,97397057,"-"
"11426","Macf1","chr4",123047212,123049211,"-"
"11428","Aco1","chr4",40088298,40090297,"+"
"11429","Aco2","chr15",81700893,81702892,"+"
"11430","Acox1","chr11",116043581,116045580,"-"
"114301","Palmd","chr3",116671871,116673870,"-"
"114304","Slc28a3","chr13",58712239,58714238,"-"
"11431","Acp1","chr12",31596478,31598477,"-"
"11432","Acp2","chr2",91041069,91043068,"+"
"11433","Acp5","chr9",21935043,21937042,"-"
"114332","Lyve1","chr7",118006468,118008467,"-"
"11434","Acr","chr15",89396757,89398756,"+"
"11435","Chrna1","chr2",73418364,73420363,"-"
"11438","Chrna4","chr2",180773883,180775882,"-"
"11440","Chrna6","chr8",28524417,28526416,"-"
"11441","Chrna7","chr7",70357413,70359412,"-"
"11443","Chrnb1","chr11",69609440,69611439,"-"
"11444","Chrnb2","chr3",89568555,89570554,"-"
"11447","Chrnd","chr1",89085227,89087226,"+"
"114479","Slc5a5","chr8",73416657,73418656,"-"
"11448","Chrne","chr11",70432697,70434696,"-"
"11449","Chrng","chr1",89100386,89102385,"+"
"11450","Adipoq","chr16",23144609,23146608,"+"
"11451","Acrv1","chr9",36498805,36500804,"+"
"114564","Csprs","chr8_random",163012,165011,"-"
"114565","Zbtb21","chr16",98183787,98185786,"-"
"114566","Krt82","chr15",101381091,101383090,"-"
"114570","Crip3","chr17",46563891,46565890,"+"
"114584","Clic1","chr17",35185188,35187187,"+"
"114585","D17H6S53E","chr17",35262060,35264059,"+"
"11459","Acta1","chr8",126418637,126420636,"-"
"114600","Gm4736","chr6",132311756,132313755,"-"
"114601","Ehbp1l1","chr19",5726318,5728317,"-"
"114602","Zmynd10","chr9",107447641,107449640,"+"
"114604","Prdm15","chr16",98021409,98023408,"-"
"114606","Tle6","chr10",81060091,81062090,"-"
"11461","Actb","chr5",143668404,143670403,"-"
"114615","Elac1","chr18",73914134,73916133,"-"
"11464","Actc1","chr2",113878548,113880547,"-"
"114640","Pth2","chr7",52434365,52436364,"+"
"114641","Rpl31","chr1",39422696,39424695,"+"
"114642","Brdt","chr5",107758213,107760212,"+"
"114643","Oas1c","chr5",121262524,121264523,"-"
"114644","Slc13a3","chr2",165298698,165300697,"-"
"11465","Actg1","chr11",120209799,120211798,"-"
"114652","Ly6g5c","chr17",35243245,35245244,"+"
"114654","Ly6g6d","chr17",35211410,35213409,"-"
"114661","Prss28","chr17",25443591,25445590,"+"
"114662","Prss29","chr17",25453599,25455598,"+"
"114663","Impa2","chr18",67446877,67448876,"+"
"114664","Hsd17b11","chr5",104450816,104452815,"-"
"114666","Krtap5-5","chr7",149415877,149417876,"-"
"114668","5033404E19Rik","chr1",187319185,187321184,"+"
"114671","4930444G20Rik","chr10",21787886,21789885,"-"
"114673","4930433N12Rik","chr9",3199814,3201813,"-"
"114674","Gtf2ird2","chr5",134657908,134659907,"+"
"114676","4930519F09Rik","chr10",28643314,28645313,"-"
"114679","Selm","chr11",3412705,3414704,"+"
"11468","Actg2","chr6",83486246,83488245,"-"
"11470","Actl7a","chr4",56754294,56756293,"+"
"11471","Actl7b","chr4",56754298,56756297,"-"
"114712","Ferd3l","chr12",34611290,34613289,"+"
"114713","Rasa2","chr9",96531923,96533922,"-"
"114714","Rad51c","chr11",87217998,87219997,"-"
"114715","Spred1","chr2",116945186,116947185,"+"
"114716","Spred2","chr11",19822445,19824444,"+"
"11472","Actn2","chr13",12433000,12434999,"-"
"11474","Actn3","chr19",4863559,4865558,"-"
"114741","Supt16","chr14",52816915,52818914,"-"
"11475","Acta2","chr19",34316037,34318036,"-"
"114763","G6bos","chr17",35199382,35201381,"+"
"11477","Acvr1","chr2",58419240,58421239,"-"
"114774","Pawr","chr10",107767245,107769244,"+"
"11479","Acvr1b","chr15",101002556,101004555,"+"
"11480","Acvr2a","chr2",48667629,48669628,"+"
"11481","Acvr2b","chr9",119309619,119311618,"+"
